ems,EMS快递
shentong,申通快递
shunfeng,顺丰快递
yuantong,圆通快递
yunda,韵达快递
huitong,汇通快递
tiantian,天天快递
zhongtong,中通快递
zhaijisong,宅急送快递
pingyou,中国邮政
quanfeng,全峰快递
guotong,国通快递
jingdong,京东快递
sure,速尔快递
kuaijie,快捷快递
ririshun,日日顺物流
zhongtie,中铁快运
yousu,优速快递
longbang,龙邦快递
debang,德邦物流
rufeng,如风达快递
lianhaotong,联昊通快递
fedex,国际Fedex
fedexcn,Fedex国内
dhl,DHL快递
xinfeng,信丰快递
eyoubao,E邮宝
zhongxinda,忠信达快递
changtong,长通物流
usps,USPS快递
huaqi,华企快递
zhima,芝麻开门快递
gnxb,邮政小包
nell,尼尔快递
zengyi,增益快递
yuxin,宇鑫物流
xingchengzhaipei,星程宅配快递
anneng,安能物流
dada,大达物流
tongzhishu,高考录取通知书
aol,AOL快递
dongjun,成都东骏快递
suning,苏宁快递
quanyi,全一快递
huayu,华宇物流
quanritong,全日通快递
fengcheng,丰程物流
minhang,民航快递
zhongyou,中邮物流
wanjia,万家物流
jiaji,佳吉快运
wanxiang,万象物流
beihai,贝海国际快递
junfeng,墨尔本骏丰快递
junda,骏达快递
quanxintong,全信通快递
ups,UPS快递
tnt,TNT快递
yibang,一邦快递
shenghui,盛辉物流
yafeng,亚风快递
dsu,D速快递
datian,大田物流
jiayi,佳怡物流
jiayunmei,加运美快递
quanchen,全晨快递
ocs,OCS快递
shengfeng,盛丰物流
xinbang,新邦物流
chengguang,程光快递
fengda,丰达快递
feihang,原飞航物流
jinyue,晋越快递
yuefeng,越丰快递
anjie,安捷快递
aae,AAE快递
yuntong,运通中港快递
dpex,DPEX快递
yuancheng,远成物流
gdyz,广东邮政物流
aramex,Aramex国际快递
intmail,国际邮政快递
ytfh,北京一统飞鸿快递
lejiedi,乐捷递快递
santai,三态速递
chuanzhi,传志快递
gongsuda,共速达物流|快递
ees,百福东方物流
scs,伟邦(SCS)快递
pinganda,平安达
yad,源安达快递
disifang,递四方速递
yinjie,顺捷丰达快递
jldt,嘉里大通物流
coe,东方快递
chuanxi,传喜快递
feibao,飞豹快递
jingguang,京广快递
feiyuan,飞远物流
cszx,城市之星
rpx,RPX保时达
citylink,CityLinkExpress
chengshi100,城市100
lijisong,成都立即送快递
balunzhi,巴伦支
dayang,大洋物流快递
diantong,店通快递
fanyu,凡宇快递
haosheng,昊盛物流
hebeijianhua,河北建华快递
jixianda,急先达物流
suijia,穗佳物流
shengan,圣安物流
saiaodi,赛澳递
haihong,山东海红快递
weitepai,微特派
chengji,城际快递
fardar,Fardar
henglu,恒路物流
hwhq,海外环球快递
jinda,金大物流
kuayue,跨越快递
kcs,顺鑫(KCS)快递
mingliang,明亮物流
minbang,民邦快递
